Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,"Iran, Islamic Rep.",IRN,908.426112106846,1528.20008004076,2861.302656876,3020.01278381479,3178.83474653166,3171.00961868621,3299.83413984305,3445.73798819091,3589.04808710116,3664.2587305343,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Iraq,IRQ,1296.8393635795,1193.90489442048,987.738859417205,1112.43605247329,1156.81398288288,1019.45520576063,1104.84586986202,1184.44969626588,1382.15291880231,1373.11648315901,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Ireland,IRL,3767.52929873699,5796.31838123565,5737.82363386139,5817.67635718619,5828.32090940028,5931.81128983612,5943.04405452401,5978.27809383514,6167.09489299375,6125.9848616838,6057.7285402065,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Israel,ISR,4176.18025751073,6323.10383208777,6748.96480948915,6890.5920898666,6844.59389668667,6812.82928806232,6986.08349900596,6819.67640069017,6809.86832276928,6842.79361757782,6622.90142057684,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Italy,ITA,4144.90744234232,5299.85647879422,5098.81495948779,5080.8793066143,5202.18236508364,5223.59825334449,5260.0173104957,4969.24141417202,5290.22854904133,5215.69012140866,5049.79576131089,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Jamaica,JAM,882.39854412644,2317.25582918492,1077.2393840717,1143.80684113221,1146.04775116096,1155.27941060183,1179.12874817897,1094.06059689714,1107.24175577108,1147.5289735216,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Japan,JPN,6721.1082136089,8048.23285478899,8007.10235093322,8066.01561270421,8190.33330183032,8057.88929982415,7852.89774387403,7687.53613546543,7959.55856479318,7803.26941727044,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Jordan,JOR,919.404910340075,1226.66929029348,1820.16692144952,1788.46128669876,1830.03580339148,1759.55472913906,1725.46739842077,1713.99992710691,1739.50666325934,1790.64757104556,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Kazakhstan,KAZ,5627.53271034357,3043.2673081393,4794.91205816535,4797.4797969897,4955.03655894931,5152.77064946851,5034.26549964328,5306.86680508078,5321.52110230336,5271.52788457214,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Kenya,KEN,127.988671997839,109.062820119121,172.165083273152,173.266602252732,175.597404158555,178.142110438668,175.810605144907,172.643819770653,184.426039295693,189.355465367737,190.082933008388,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,"Korea, Dem. People's Rep.",PRK,1189.41062195646,690.191080757089,626.423489805614,784.370157028905,767.80631465015,800.543068920168,771.114669721117,774.898922235088,807.279998188509,829.774340651859,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,"Korea, Rep.",KOR,2462.13588410144,5885.45240628793,10429.080716285,10597.2331534799,10734.0048153582,11072.8769559588,10613.6364189565,10716.1516868537,11397.3392731969,11492.9257726667,11307.6655429113,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Kosovo,XKX,..,1468.52165306606,..,..,..,..,..,..,..,..,..,..
